[2025-08-24 22:35:25,955] 프로그램 시작
[2025-08-24 22:35:26,070] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-08-24 22:35:26,161] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-08-24 22:35:26,237] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-08-24 22:35:26,313] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-08-24 22:35:26,404] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-08-24 22:35:26,480] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-08-24 22:35:26,555] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-08-24 22:35:26,631] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-08-24 22:35:26,707] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-08-24 22:35:26,783] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-08-24 22:35:35,519] saveLoginData : 데이터 저장 성공
[2025-08-24 22:35:53,837] 프로그램 시작
[2025-08-24 22:35:53,928] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-08-24 22:35:54,018] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-08-24 22:35:54,093] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-08-24 22:35:54,169] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-08-24 22:35:54,245] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-08-24 22:35:54,321] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-08-24 22:35:54,396] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-08-24 22:35:54,471] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-08-24 22:35:54,547] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-08-24 22:35:54,623] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-08-24 22:35:56,080] saveLoginData : 데이터 저장 성공
[2025-08-24 22:37:47,927] closeDB : DB(cursor_item) 연결해제 성공
[2025-08-24 22:37:47,927] closeDB : DB 연결해제 성공
[2025-08-24 22:50:35,957] 프로그램 시작
[2025-08-24 22:50:36,058] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-08-24 22:50:36,135] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-08-24 22:50:36,210] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
